Município,ibge,latitude,longitude,"Taxa de Mortalidade por Ano_1996 (-)","Taxa de Mortalidade por Ano_1997 (-)","Taxa de Mortalidade por Ano_1998 (-)","Taxa de Mortalidade por Ano_1999 (-)","Taxa de Mortalidade por Ano_2000 (-)","Taxa de Mortalidade por Ano_2001 (-)","Taxa de Mortalidade por Ano_2002 (-)","Taxa de Mortalidade por Ano_2003 (-)","Taxa de Mortalidade por Ano_2004 (-)","Taxa de Mortalidade por Ano_2005 (-)","Taxa de Mortalidade por Ano_2006 (-)","Taxa de Mortalidade por Ano_2007 (-)","Taxa de Mortalidade por Ano_2008 (-)","Taxa de Mortalidade por Ano_2009 (-)","Taxa de Mortalidade por Ano_2010 (-)","Taxa de Mortalidade por Ano_2011 (-)"
"Rio Grande",4315602,-32.034900000000,-52.107100000000,4.79,4.43,5.03,4.73,4.74,4.56,4.41,4.68,5.48,5.12,5.04,5.15,4.57,4.69,4.89,4.75
"Rio Pardo",4315701,-29.988000000000,-52.371099999990,2.73,2.76,2.54,2.69,1.90,2.65,2.88,2.99,3.10,3.87,4.64,3.91,2.91,3.72,3.90,4.02
Riozinho,4315750,-29.638999999990,-50.448799999990,0.40,0.68,1.38,2.41,1.74,1.30,2.46,1.00,1.48,0.78,1.76,4.14,2.10,2.66,2.90,5.88
"Roca Sales",4315800,-29.288399999990,-51.865800000000,1.67,1.59,1.84,1.13,0.46,0.83,0.83,0.51,0.63,0.58,0.17,2.50,-,2.01,1.45,0.97
"Rodeio Bonito",4315909,-27.474200000000,-53.170600000000,0.85,0.68,2.69,1.38,2.65,1.49,1.92,2.31,1.32,1.51,1.44,1.46,1.65,2.06,2.09,1.39
Rolante,4316006,-29.646200000000,-50.581899999990,1.34,2.40,0.97,1.38,1.08,1.48,1.73,1.54,3.05,2.28,3.23,3.04,4.01,2.70,4.46,4.03
"Ronda Alta",4316105,-27.775800000000,-52.805599999990,1.79,1.06,1.05,1.93,1.95,1.20,1.26,1.46,1.36,2.29,1.89,2.47,2.50,3.17,2.53,1.75
Rondinha,4316204,-27.831499999990,-52.908099999990,0.68,1.00,1.33,0.90,1.93,1.46,1.41,1.40,0.92,1.94,0.32,0.76,0.36,0.80,0.71,1.02
"Roque Gonzales",4316303,-28.129700000000,-55.026600000000,0.94,1.26,2.80,1.53,3.33,4.03,1.64,4.99,2.48,2.95,3.38,2.54,2.99,3.48,0.54,1.16
"Rosário do Sul",4316402,-30.251500000000,-54.922100000000,3.29,3.36,4.13,3.92,4.43,4.43,5.45,4.87,5.32,5.57,5.05,6.78,5.31,6.06,7.95,6.46
"Saldanha Marinho",4316436,-28.394100000000,-53.097000000000,0.73,1.01,3.19,1.31,0.40,-,1.02,3.64,-,-,-,-,0.59,2.16,0.88,4.00
"Salto do Jacuí",4316451,-29.095099999990,-53.213299999990,0.58,1.63,0.60,0.25,1.57,1.55,1.10,1.14,-,-,-,-,0.86,2.24,3.10,3.37
"Salvador do Sul",4316501,-29.438600000000,-51.507700000000,1.27,0.75,2.05,1.24,1.07,0.83,2.58,2.24,2.55,2.01,2.53,0.38,1.76,3.27,2.29,1.94
Sananduva,4316600,-27.946999999990,-51.807899999990,1.48,0.68,1.21,1.46,0.57,1.11,0.94,1.27,1.26,0.85,1.62,0.60,0.81,0.21,1.84,3.45
"Santa Bárbara do Sul",4316709,-28.365300000000,-53.250999999990,0.78,1.99,1.17,1.84,1.07,1.56,2.03,1.80,2.31,1.96,2.10,1.28,1.87,1.21,3.50,2.63
"Santa Clara do Sul",4316758,-29.474699999990,-52.084299999990,2.46,3.90,5.68,3.14,0.40,4.76,4.21,4.40,3.18,5.08,6.96,8.57,-,2.02,7.04,7.95
"Santa Cruz do Sul",4316808,-29.722000000000,-52.434300000000,3.80,3.72,3.73,4.25,3.85,4.08,4.27,4.52,4.51,4.90,4.94,5.56,5.10,4.81,4.70,5.19
"Santa Maria",4316907,-29.686800000000,-53.814999999990,4.82,4.33,4.53,4.61,5.26,4.99,5.19,4.12,4.16,4.52,4.20,4.44,4.83,4.88,4.46,4.25
"Santa Maria do Herval",4316956,-29.490200000000,-50.991900000000,1.26,1.05,1.51,0.20,-,-,-,-,-,-,-,-,-,-,-,-
"Santa Rosa",4317202,-27.870200000000,-54.479599999990,4.49,4.04,4.14,4.72,4.33,4.64,5.28,4.89,4.80,5.71,5.48,5.38,5.37,6.24,5.81,5.83
"Santa Vitória do Palmar",4317301,-33.524999999990,-53.371699999990,3.22,1.40,3.12,2.94,2.20,2.40,2.97,3.71,4.23,4.20,3.09,4.61,5.49,5.34,4.89,4.87
"Santana da Boa Vista",4317004,-30.869700000000,-53.109999999990,0.83,0.27,0.13,-,0.53,1.43,2.43,1.90,1.40,0.49,1.31,0.51,-,-,-,-
"Santana do Livramento",4317103,-30.887699999990,-55.531500000000,3.29,3.46,3.12,2.51,2.22,2.91,3.15,3.58,4.62,3.94,4.07,5.02,4.66,4.66,4.38,5.33
Santiago,4317400,-29.189699999990,-54.866599999990,3.47,2.85,2.54,2.33,2.30,2.81,2.93,3.98,3.81,4.08,3.42,3.76,3.34,3.59,4.00,5.17
"Santo Ângelo",4317509,-28.300100000000,-54.266800000000,3.60,3.21,3.50,3.34,3.39,3.83,3.81,4.26,4.64,4.34,4.84,5.26,4.72,5.20,5.38,5.16
"Santo Antônio da Patrulha",4317608,-29.826799999990,-50.517499999990,1.99,2.30,2.66,1.59,1.65,2.42,2.70,2.27,2.30,2.99,3.26,3.67,4.74,6.67,5.05,3.81
"Santo Antônio das Missões",4317707,-28.513999999990,-55.225099999990,-,0.66,0.86,0.41,0.56,0.92,0.46,0.69,2.01,0.65,1.13,-,-,-,-,-
"Santo Augusto",4317806,-27.852599999990,-53.777600000000,1.32,1.92,2.35,1.79,1.75,2.21,1.19,1.95,2.01,1.97,1.96,2.21,1.72,1.49,1.90,2.34
"Santo Cristo",4317905,-27.826300000000,-54.661999999990,2.65,2.29,4.60,3.53,2.50,2.49,3.40,3.78,3.21,4.69,4.20,4.17,4.21,3.38,3.43,4.00
"São Borja",4318002,-28.657800000000,-56.003599999990,3.23,2.87,3.73,3.09,3.24,3.52,3.79,4.46,5.17,3.98,3.94,4.98,4.31,4.66,5.99,5.45
"São Domingos do Sul",4318051,-28.531199999990,-51.886000000000,2.40,1.40,3.16,1.67,3.95,1.76,3.47,1.76,3.10,3.41,5.56,0.85,2.75,1.25,3.28,-
"São Francisco de Assis",4318101,-29.554700000000,-55.125300000000,2.98,3.42,3.69,3.48,3.28,2.19,3.20,2.68,3.72,4.98,4.28,4.23,4.48,5.33,4.22,5.98
"São Francisco de Paula",4318200,-29.440400000000,-50.582799999990,1.41,1.58,1.25,1.97,1.29,1.83,1.04,1.26,1.92,1.29,1.33,1.98,2.49,2.46,2.45,2.09
"São Gabriel",4318309,-30.333700000000,-54.321700000000,4.06,4.27,4.65,4.41,5.05,4.87,5.36,4.85,5.38,4.68,4.91,5.08,4.12,4.60,4.78,5.18
"São Jerônimo",4318408,-29.971599999990,-51.725099999990,2.49,2.41,2.26,2.10,2.60,3.18,2.70,2.84,3.12,3.41,4.06,3.54,4.49,5.03,4.31,4.90
"São João do Polêsine",4318432,-29.619399999990,-53.443899999990,0.68,-,1.21,1.12,0.80,-,-,-,-,-,-,-,-,-,-,-
"São José do Herval",4318465,-29.052000000000,-52.295000000000,-,-,-,-,0.24,0.47,0.95,1.80,0.44,3.19,3.11,4.02,4.49,3.91,0.76,6.33
"São José do Inhacorá",4318499,-27.725100000000,-54.127499999990,2.53,1.41,1.65,1.07,0.43,1.44,-,1.94,-,4.05,1.20,1.09,2.68,3.77,6.00,6.12
"São José do Norte",4318507,-32.015099999990,-52.033099999990,0.66,1.83,1.59,1.38,2.32,1.83,1.96,1.97,2.67,1.79,1.54,2.03,1.55,1.71,3.14,4.02
"São José do Ouro",4318606,-27.770700000000,-51.596600000000,1.24,1.38,0.92,1.77,1.48,0.31,1.35,1.89,1.06,1.38,1.63,1.83,1.27,1.86,2.02,2.21
"São Leopoldo",4318705,-29.754500000000,-51.149799999990,4.53,4.96,5.02,4.70,4.76,4.91,5.11,5.14,4.76,5.11,5.59,5.82,5.35,4.19,6.76,7.29
"São Lourenço do Sul",4318804,-31.356400000000,-51.971499999990,2.85,2.46,2.60,2.76,2.80,3.52,3.17,3.80,3.51,4.18,3.40,3.56,3.78,3.41,3.81,4.29
"São Luiz Gonzaga",4318903,-28.411999999990,-54.955900000000,3.68,2.77,3.19,2.26,3.34,3.96,3.59,4.29,5.04,3.93,3.91,4.39,5.45,4.43,4.44,5.00
"São Marcos",4319000,-28.967700000000,-51.069600000000,1.36,1.57,1.75,1.70,1.61,0.78,1.46,1.54,1.83,2.08,2.00,1.40,1.09,2.60,1.80,2.27
"São Martinho",4319109,-27.711200000000,-53.969900000000,2.10,3.21,1.87,3.19,2.27,3.15,1.33,2.72,0.78,1.26,0.73,3.27,2.31,3.97,7.69,5.56
"São Miguel das Missões",4319158,-28.556000000000,-54.555900000000,-,-,0.80,0.50,1.98,0.79,1.47,1.00,1.68,1.83,1.71,1.10,1.57,2.34,2.36,2.17
"São Nicolau",4319208,-28.183399999990,-55.265400000000,1.93,1.01,0.20,0.19,0.24,1.11,2.15,3.50,-,-,-,-,-,-,-,-
"São Paulo das Missões",4319307,-28.019500000000,-54.940399999990,0.55,1.20,1.16,1.40,1.35,1.74,1.85,2.34,1.88,2.86,3.04,2.54,1.13,4.62,3.10,2.97
"São Pedro do Sul",4319406,-29.620200000000,-54.185499999990,2.32,3.70,2.81,2.49,3.88,4.55,3.19,3.36,5.00,5.49,5.05,4.63,5.29,3.47,4.85,4.74
"São Sebastião do Caí",4319505,-29.588500000000,-51.374899999990,3.05,2.17,2.92,2.85,2.32,2.75,2.87,2.39,3.83,4.32,7.24,5.62,4.60,5.75,4.57,3.25
"São Sepé",4319604,-30.164300000000,-53.560299999990,0.70,1.37,0.97,0.83,1.82,2.07,3.76,3.68,4.41,3.79,2.39,3.67,3.28,3.91,4.54,4.03
"São Valentim",4319703,-27.558299999990,-52.523699999990,1.91,1.27,1.24,0.83,1.13,0.92,0.31,-,-,-,-,-,-,-,-,-
"São Vicente do Sul",4319802,-29.688199999990,-54.682600000000,2.05,0.35,1.92,1.27,1.78,1.32,1.64,2.03,1.01,1.91,1.70,2.61,1.86,2.82,2.11,4.75
Sapiranga,4319901,-29.634899999990,-51.006500000000,2.04,1.80,1.90,1.88,2.25,2.45,2.55,2.94,2.94,4.27,4.88,5.17,4.87,5.03,4.10,4.74
"Sapucaia do Sul",4320008,-29.827600000000,-51.145000000000,3.95,4.24,4.66,4.76,4.48,3.98,4.35,3.97,3.74,4.40,5.01,5.78,5.45,5.81,5.46,6.23
Sarandi,4320107,-27.942000000000,-52.923099999990,1.63,1.21,1.04,1.81,1.78,1.60,1.62,1.42,3.27,2.96,2.69,3.86,2.78,4.78,3.16,3.31
Seberi,4320206,-27.482900000000,-53.402600000000,1.95,2.28,3.18,1.93,1.59,2.05,1.07,2.69,2.33,2.82,2.33,2.65,2.94,2.56,3.16,3.81
Segredo,4320263,-29.352300000000,-52.976700000000,-,0.33,1.11,1.06,1.68,1.39,2.69,1.09,1.47,0.27,2.16,0.97,1.92,1.96,3.28,2.14
Selbach,4320305,-28.629400000000,-52.949800000000,-,-,-,0.22,1.82,1.79,2.92,2.23,3.75,1.82,4.20,1.61,2.55,1.61,0.64,0.52
"Serafina Corrêa",4320404,-28.712599999990,-51.935299999990,0.69,1.20,1.50,1.48,0.60,0.72,0.41,0.60,-,-,0.92,1.30,1.32,2.74,2.61,2.06
Sério,4320453,-29.390400000000,-52.268500000000,-,-,-,-,-,-,-,4.76,1.45,0.65,0.71,3.00,-,-,-,-
Sertão,4320503,-27.979800000000,-52.258800000000,1.20,1.41,1.46,1.30,0.95,1.34,0.83,1.26,2.43,1.50,0.69,1.69,1.72,1.46,1.88,-
"Severiano de Almeida",4320602,-27.436199999990,-52.121699999990,1.49,0.40,0.93,0.50,1.63,1.59,1.43,1.75,0.73,0.93,1.04,0.58,3.08,2.66,1.21,0.91
"Silveira Martins",4320651,-29.646699999990,-53.591000000000,1.22,2.54,4.85,15.38,4.23,1.92,1.92,6.90,-,-,-,2.35,7.69,15.38,-,-
Sinimbu,4320677,-29.535699999990,-52.530500000000,2.82,1.55,2.47,3.68,2.65,2.75,3.10,3.69,2.69,3.29,4.92,3.05,5.02,4.91,3.91,6.01
Sobradinho,4320701,-29.419400000000,-53.032600000000,1.64,1.70,1.93,1.48,2.08,1.69,1.93,1.93,1.72,2.15,1.68,2.03,2.01,2.04,2.86,2.27
Soledade,4320800,-28.830600000000,-52.513100000000,2.73,2.14,1.78,2.62,2.91,2.12,2.73,2.31,3.45,3.21,3.85,4.39,3.36,3.35,4.15,5.45
Tapejara,4320909,-28.065200000000,-52.009700000000,1.10,1.00,1.23,1.03,0.90,1.16,1.14,1.00,1.85,1.13,1.85,2.65,2.54,2.60,1.87,2.03
Tapera,4321006,-28.627700000000,-52.861199999990,1.42,1.54,0.90,1.43,1.11,0.94,1.33,2.37,2.84,2.40,2.03,2.86,2.64,3.15,3.37,2.02
Tapes,4321105,-30.668299999990,-51.399099999990,2.51,1.18,2.12,1.06,1.88,2.14,3.26,3.85,3.77,3.04,3.87,4.96,0.55,-,0.33,8.12
Taquara,4321204,-29.650500000000,-50.775300000000,2.16,2.10,2.25,2.29,2.66,2.73,2.06,2.76,2.26,2.09,2.60,4.52,3.21,4.83,6.11,5.76
Taquari,4321303,-29.794300000000,-51.865299999990,3.21,2.70,2.23,3.30,3.47,4.47,3.85,2.54,3.80,3.83,3.49,4.16,3.79,4.08,3.39,3.76
"Taquaruçu do Sul",4321329,-27.400400000000,-53.470300000000,-,-,0.28,1.34,1.52,0.89,1.47,0.51,-,1.87,1.63,2.56,2.38,-,-,4.55
"Tenente Portela",4321402,-27.371099999990,-53.758499999990,1.20,1.46,1.74,0.78,0.42,0.68,0.77,0.08,0.99,1.77,0.90,1.45,2.32,2.14,2.46,1.91
"Terra de Areia",4321436,-29.578199999990,-50.064399999990,0.18,0.20,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-
Teutônia,4321451,-29.448200000000,-51.804400000000,0.88,1.26,1.07,0.37,0.91,2.22,2.17,2.02,2.28,2.09,3.16,3.89,3.85,3.73,3.50,4.10
Torres,4321501,-29.333400000000,-49.733300000000,1.65,1.74,2.29,2.58,3.44,3.95,3.55,3.45,3.98,4.62,5.03,5.50,5.65,7.04,6.99,5.41
Tramandaí,4321600,-29.984100000000,-50.132199999990,3.04,3.97,2.79,4.79,4.24,5.74,6.28,6.82,6.37,6.99,6.20,6.18,6.67,7.02,7.89,7.90
"Três Arroios",4321634,-27.500299999990,-52.144799999990,0.38,0.43,1.00,-,0.46,2.00,2.67,1.62,1.19,2.86,1.75,2.11,-,1.74,1.11,3.08
"Três Coroas",4321709,-29.513700000000,-50.773899999990,2.49,2.46,2.88,2.30,2.62,2.27,2.74,3.13,3.65,3.21,2.94,4.28,4.34,3.03,2.94,3.29
"Três de Maio",4321808,-27.780000000000,-54.235700000000,1.40,0.76,0.94,2.50,2.29,2.76,3.32,3.27,3.84,4.92,4.96,3.95,2.86,3.29,5.25,4.85
"Três Passos",4321907,-27.455500000000,-53.929600000000,2.59,2.06,2.13,2.34,3.49,2.68,3.25,3.56,3.28,3.45,3.70,4.15,4.59,6.31,8.42,7.69
"Trindade do Sul",4321956,-27.523900000000,-52.895600000000,-,-,1.46,1.27,1.10,2.06,0.88,2.34,2.32,1.27,1.35,1.95,1.51,1.93,2.35,1.66
Triunfo,4322004,-29.929099999990,-51.707500000000,1.60,1.29,0.99,1.27,0.58,1.04,1.93,1.40,0.75,1.50,1.43,2.97,2.74,3.33,2.99,4.38
Tucunduva,4322103,-27.657299999990,-54.443899999990,0.49,0.58,0.21,0.19,0.70,0.58,1.49,1.17,1.55,0.75,0.95,0.78,-,0.99,2.17,2.68
Tupanciretã,4322202,-29.085799999990,-53.844499999990,1.28,0.78,2.16,2.21,2.57,2.59,2.48,2.19,2.08,3.64,1.29,1.41,1.81,2.67,2.20,1.94
Tuparendi,4322301,-27.759799999990,-54.481400000000,1.29,1.67,1.25,1.87,1.65,2.49,1.74,2.02,1.59,2.06,2.39,2.31,4.47,2.86,3.95,3.77
Ubiretama,4322343,-28.040400000000,-54.685899999990,-,-,-,-,-,1.18,4.72,2.78,-,-,-,-,-,-,-,-
Uruguaiana,4322400,-29.761399999990,-57.085299999990,4.01,3.91,4.12,4.28,3.97,4.57,4.70,5.42,5.30,4.95,5.00,5.43,6.05,6.89,6.53,5.98
Vacaria,4322509,-28.507899999990,-50.941800000000,2.76,2.78,3.02,3.28,3.40,4.03,3.73,3.66,4.05,3.46,3.96,4.39,3.25,4.21,5.06,5.24
"Vale do Sol",4322533,-29.596699999990,-52.683900000000,-,-,-,1.49,0.58,1.41,2.09,3.55,3.02,3.23,2.71,3.83,3.11,2.31,3.81,4.61
"Venâncio Aires",4322608,-29.614300000000,-52.193199999990,2.67,1.74,2.40,2.75,2.17,2.53,3.26,3.15,4.48,4.20,3.81,3.87,4.34,4.77,4.43,4.90
"Vera Cruz",4322707,-29.718399999990,-52.515200000000,2.72,-,2.33,2.69,2.24,3.10,2.55,3.72,4.75,4.41,3.65,2.78,2.73,4.28,4.03,2.67
Veranópolis,4322806,-28.931200000000,-51.551600000000,1.95,1.53,2.26,1.55,2.07,2.36,2.65,2.44,3.28,3.90,3.77,2.80,3.56,3.82,3.59,3.40
Viadutos,4322905,-27.571600000000,-52.021099999990,0.71,0.56,0.58,0.31,0.74,1.43,0.76,2.45,2.14,2.70,2.23,1.97,2.05,1.30,3.66,5.31
Viamão,4323002,-30.081900000000,-51.019399999990,2.90,-,-,-,-,-,-,0.69,3.21,4.82,6.19,8.00,6.92,7.12,6.78,7.05
"Vicente Dutra",4323101,-27.160799999990,-53.402200000000,0.21,1.01,1.04,0.44,0.82,0.28,2.53,1.47,1.25,0.44,1.48,1.36,0.46,1.15,1.82,3.81
"Victor Graeff",4323200,-28.563199999990,-52.749499999990,2.65,0.65,1.93,0.93,1.07,1.73,1.80,1.62,1.97,1.87,2.54,0.95,3.51,7.48,4.17,5.13
"Vila Maria",4323408,-28.535900000000,-52.148699999990,0.48,1.00,0.47,1.01,1.13,0.94,1.81,1.82,2.13,-,3.86,2.62,0.78,-,-,-
"Vista Gaúcha",4323705,-27.290199999990,-53.697400000000,1.68,0.25,0.29,0.19,1.62,2.58,0.59,1.67,1.69,1.40,3.95,1.67,0.85,0.79,-,-
